longitude,latitude,GIS_ACRES,YEAR_,FIRE_NAME,weight_hist,weight_recent
-116.88681499817818,32.56658488480057,28.94558,2022,BORDER 15,3.3993817343717305,2.5183239278751977
-117.34202341713316,34.309153929848236,28.10259,2022,HIGHWAY,3.370827173653302,2.4971701890114235
-117.14120848460708,34.17451582893947,26.86633,2022,MANZANITA,3.3274191500098533,2.4650127341725736
-116.84176738553157,32.79707286599254,26.85744,2022,HARBISON 2,3.327100076118212,2.464776358419902
-116.77438587839727,34.28841422863802,26.48567,2022,CACTUS ,3.3136647779483837,2.4548232447354015
-116.53652585078105,32.66221607041434,25.70823,2022,HAUSER,3.284971757610482,2.4335669324626927
-118.91039137400392,35.19678807034631,25.54512,2022,SYCAMORE,3.27884592665077,2.4290288052709217
-120.46776045036862,35.02432659881348,25.53244,2022,TEFT,3.2783681352737277,2.4286748487131242
-116.74876646875691,32.565681243135245,25.22921,2022,BORDER 16,3.2668736752399368,2.4201595432831944
-114.57541369837087,32.81553862497734,25.00471,2022,ALL AMERICAN,3.258277675461259,2.413791470022174
-120.1040902220601,34.494190385389736,16953.24,2021,ALISAL,9.738273229019555,6.527759759184022
-116.46619961504115,32.981626583228795,5365.902,2021,SOUTHERN,8.588006112274698,5.756712652534327
-115.75815972991485,35.36289486571405,2490.498,2021,MOJAVE,7.820639414991858,5.242331372685477
-118.40574105935819,35.42097679958172,2096.645,2021,PEAK,7.648570565868566,5.126990173819853
-118.90878417254133,34.901465101375656,1828.035,2021,SHELL,7.511543784347739,5.035138375322697
-117.38337794879558,33.491650169869665,1427.293,2021,CHAPARRAL,7.264235303925396,4.869362543340988
-118.5693416215255,34.096601640660495,1202.648,2021,PALISADES,7.093112224319613,4.754655312741879
-117.35371908786068,33.32289411558465,968.2691,2021,SIERRA,6.876542282315094,4.609484139247474
-118.82345801778553,34.765748245099054,856.8701,2021,TUMBLEWEED,6.754452689424639,4.527645037720672
-117.44792756545921,34.194951717715895,810.9695,2021,SOUTH,6.699462777879869,4.490784197682486
-116.69785355452963,33.70601977531251,681.1813,2021,BONITA,6.5252954582925184,4.3740363519987895
-119.14891425040896,34.99691696218779,674.1259,2021,WOLF,6.514899191998632,4.367067526298072
-116.37523392383265,32.86762997665702,559.1455,2021,OVERLAND,6.328196571410024,4.241917017070143
-118.57950675083437,34.46947410117206,552.1964,2021,NORTH,6.315713092177238,4.233549090696136
-115.15978397557095,35.2588137061003,490.7352,2021,POND,6.197940360222459,4.154603667590465
-118.70322662950895,34.57754368017299,455.3456,2021,ROUTE,6.1232504171940425,4.104537501541258
-117.66703422150275,34.43146046203949,441.2523,2021,PINE,6.09188053370472,4.083509639796563
-116.66813581240666,33.14747421907382,428.2403,2021,YSABEL 2,6.062016901968383,4.06349144879627
-118.88797569271398,34.7889395922026,365.7711,2021,HUNGRY,5.904737947747172,3.9580642129622707
-116.44069676442338,33.58481984898525,342.571,2021,FLATS,5.839393786082523,3.914262711507063
-116.66205416436377,33.48389420907481,318.4139,2021,ROCK,5.766487753932293,3.8653923366798453
-117.10495952833465,33.34557546178174,277.8741,2021,MESA 3,5.630760425495136,3.7744115876335553
-117.41980150680452,34.388389650666355,248.6175,2021,FARMINGTON,5.519929746217016,3.7001195615976847
-118.75970599700804,34.67485318604182,221.0323,2021,EMIGRANT,5.402822866784332,3.621620472785278
-115.22937567180159,32.71699349969997,216.6215,2021,DESERT,5.3827573152479395,3.6081701313556733
-118.78342076181939,35.4452397920739,216.5297,2021,CANYON,5.382335392930539,3.6078873083684497
-119.34511948026577,34.43173693460203,188.1755,2021,CASITAS,5.2426751556324644,3.514270251673456
-118.5807046462744,34.348200557999334,183.8866,2021,TOWSLEY,5.219742664160612,3.498898142934332
-115.69512020359855,33.415452095059074,122.8651,2021,MINERAL,4.819193070182975,3.2304017206596862
-115.69357324705231,32.69540308751873,106.2004,2021,YUHA,4.674699979973024,3.1335451057783197
-116.87438659017344,33.90827366361709,88.36302,2021,WESTWARD,4.492706950071704,3.0115515295967015
-118.09340846381092,35.311314715041426,83.93266,2021,POLELINE,4.441858707211974,2.9774669331021357
-116.65196647919925,32.842541467452875,83.56132,2021,ROAD,4.437476951657741,2.9745297545173055
-116.38227382561443,33.586875946824236,80.03923,2021,SCENIC,4.394933358414538,2.9460119311360002
-120.08972275470306,34.66814734503039,69.51533,2021,CABALLO,4.255830132988603,2.852768250664781
-117.4672241635686,34.25673110443341,66.24019,2021,ROADSIDE,4.208271134235411,2.820888500431133
-117.7802729133746,34.38438162023592,62.07942,2021,SPRINGS,4.144394567379136,2.7780707571954357
-117.47442927899411,34.335441197952115,61.72803,2021,RAILROAD,4.138808397183831,2.774326235332956
-118.32624523518396,34.66584132380669,61.52447,2021,LIMA,4.1355580001184,2.7721474290224224
-117.11175907394296,33.379960094576916,54.22581,2021,ARUBA,4.011430416468875,2.6889422214361804
-116.91879886276219,33.09070990318995,53.04443,2021,CLEVENGER,3.9898064860459654,2.674447267399624
-117.69393356418752,34.217707423582475,49.89998,2021,ANTONIO,3.9298625306290913,2.6342656324450267
-115.1897146892017,34.56147869837374,47.4764,2021,OLD WOMAN,3.8810770815780975,2.601563767991295
-118.85575457530328,34.83291328185706,46.83553,2021,CRANE,3.867768668822069,2.5926428721400128
-116.89149851174379,33.886889271920865,42.75489,2021,COYOTE,3.7786033779862342,2.5328735902821546
-115.2891109442618,32.83969155114314,40.42638,2021,HIGHLINE,3.7239178759744105,2.496216802056107
-117.09828592681217,34.59712288183983,38.58012,2021,FLATS,3.6783269720040837,2.465656305207911
-116.76593739154971,32.60612744669435,37.3201,2021,MARRON 4,3.645974562702595,2.4439698367155733
-120.13664604252274,34.66598413572297,37.1573,2021,BALLARD,3.6417170893598714,2.4411159669884834
-120.35387280816822,34.54903472676362,37.05353,2021,ONE,3.6389938526721197,2.439290526846584
-116.514944792775,33.06567404513144,32.81554,2021,QUEEN,3.5209204601438144,2.360143564931426
-116.75687325783083,33.542207216084236,31.87381,2021,CREEK,3.4926762921241443,2.3412109329242425
-119.22100226449855,34.23411194864735,31.69551,2021,VICTORIA,3.4872377596069803,2.337565375556971
-118.40203664533037,35.01224225098738,29.9392,2021,OAK,3.4320239883141905,2.3005544778421867
